,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Average HR (bpm),Respiratory rate (rpm),Asleep duration (min),Deep (SWS) duration (min),REM duration (min),Recovery score %
47,0.2857142857142856,0.20987654320987648,0.26027397260273966,0.2400000000000002,0.40000000000000036,0.7439446366782007,0.6605504587155963,0.5603864734299516,39.0
48,0.2142857142857144,0.28395061728395066,0.363013698630137,0.43999999999999995,0.3000000000000007,0.5501730103806229,0.6605504587155963,0.43961352657004826,58.0
49,0.2857142857142856,0.24691358024691357,0.6917808219178082,0.2400000000000002,0.45000000000000107,0.671280276816609,0.5688073394495413,0.6183574879227053,54.0
50,0.07142857142857162,0.2962962962962963,0.1780821917808219,0.2400000000000002,0.25,0.4498269896193773,0.47706422018348627,0.49275362318840576,58.0
51,0.4285714285714288,0.20987654320987648,0.7602739726027397,0.2799999999999998,0.5500000000000007,0.7093425605536333,0.24770642201834858,0.5845410628019323,47.0
52,0.35714285714285765,0.32098765432098764,0.3013698630136986,0.3599999999999999,0.3500000000000014,0.6089965397923877,0.5963302752293579,0.6183574879227053,62.0
53,0.5,0.33333333333333337,0.8630136986301371,0.2799999999999998,0.8000000000000007,0.7231833910034603,0.779816513761468,0.608695652173913,61.0
54,0.5,0.2716049382716049,0.6301369863013698,0.2799999999999998,0.75,0.4878892733564014,0.8256880733944955,0.46376811594202894,49.0
55,0.2142857142857144,0.5308641975308642,0.1780821917808219,0.48,0.45000000000000107,0.6608996539792388,0.6697247706422019,0.5797101449275361,89.0
56,0.2142857142857144,0.6790123456790124,0.6643835616438355,0.2799999999999998,0.5,0.6885813148788927,0.5045871559633027,0.7101449275362318,97.0
57,0.0,0.345679012345679,0.5205479452054794,0.1200000000000001,0.5,0.6851211072664362,0.5045871559633027,0.6666666666666666,84.0
58,0.35714285714285765,0.6296296296296297,0.43150684931506855,0.040000000000000036,0.7000000000000011,0.8650519031141869,0.45871559633027525,0.6956521739130435,97.0
59,0.4285714285714288,0.2962962962962963,0.03424657534246578,0.3599999999999999,0.75,0.48096885813148804,0.5779816513761468,0.6714975845410628,81.0
60,0.2857142857142856,0.32098765432098764,0.6232876712328766,0.48,0.45000000000000107,0.12802768166089973,0.33944954128440374,0.3043478260869565,81.0
61,0.2857142857142856,0.23456790123456794,0.40410958904109584,0.2400000000000002,0.20000000000000107,0.8200692041522492,0.7522935779816514,0.7342995169082125,61.0
62,0.35714285714285765,0.2592592592592592,0.5753424657534246,0.2799999999999998,0.25,0.7093425605536333,0.6055045871559633,0.78743961352657,62.0
